LATITUDE,LONGITUDE,Collision,osmnxId
43.649418,-79.371446,0,4095622247
43.650461,-79.371924,0,25768773
43.651534,-79.37236,0,29687658
43.652718,-79.372824,0,29687912
43.653704,-79.373238,0,29688544
43.655357,-79.373862,0,29688418
43.657052,-79.374531,1,25768772
43.660432,-79.375854,0,29603394
43.66242,-79.376708,1,27571559
43.666289,-79.378325,1,25628755
43.668869,-79.379416,0,25813514
43.669989,-79.379923,0,25628935
43.671577,-79.38052,0,20953780
43.648513,-79.373834,0,29689432
43.649916,-79.374409,0,25628775
43.651173,-79.374925,0,29687656
43.652441,-79.375448,1,29687913
43.65317,-79.375754,1,29605048
43.654817,-79.376441,0,29688409
43.656499,-79.377127,0,25628759
43.659858,-79.378522,0,29688909
43.661871,-79.379335,1,25628757
43.665703,-79.380928,0,25628751
43.671022,-79.383123,0,20964582
43.650654,-79.377248,0,29687655
43.651952,-79.377756,1,29687910
43.65267,-79.378066,1,29605043
43.646846,-79.376931,0,25628764
43.647848,-79.377351,0,29687510
43.649162,-79.377904,0,29605053
43.650419,-79.378436,0,29687654
43.651697,-79.378965,0,29687914
43.652421,-79.379276,0,29696827
43.654066,-79.379957,0,29688406
43.656326,-79.380912,0,29603223
43.65909,-79.382096,0,29603320
43.661369,-79.383094,0,26241001
43.664935,-79.384558,0,24985734
43.670229,-79.386767,0,20964462
43.672879,-79.387845,0,25628740
43.675603,-79.38895,0,20964461
43.676976,-79.389534,0,56922458
43.679139,-79.390424,0,34993709
43.682023,-79.391574,0,34993902
43.688075,-79.394098,0,60891373
43.698298,-79.396601,0,55540751
43.645996,-79.379115,0,3586644103
43.647345,-79.379702,1,29687309
43.648653,-79.380268,0,29605052
43.649876,-79.380823,0,29687653
43.651224,-79.381452,0,29687983
43.65189,-79.381698,0,29603229
43.652965,-79.382631,0,1551002988
43.655721,-79.383734,0,29603222
43.658496,-79.384865,1,29603262
43.660814,-79.385857,1,24959511
43.664366,-79.387151,0,24959504
43.669701,-79.389468,0,20964581
43.646638,-79.383007,0,34522600
43.647934,-79.383531,0,29605051
43.649196,-79.384074,0,29687652
43.6505,-79.38462,1,34520976
43.645291,-79.382476,0,25628766
43.646405,-79.384076,1,29687315
43.647655,-79.384788,0,26240577
43.648857,-79.38548,1,26240563
43.65014,-79.38624,1,29687984
43.650827,-79.386628,1,32547297
43.654812,-79.388484,0,42606444
43.656323,-79.388959,0,29604863
43.659847,-79.39049,0,21436517
43.66361,-79.390626,0,3340615393
43.665935,-79.391879,0,2497429031
43.668685,-79.394119,1,20979763
43.699825,-79.430961,0,29656736
43.698048,-79.439379,0,29656432
43.697293,-79.442789,0,49573366
43.696242,-79.447688,0,243888361
43.695684,-79.450293,0,21292231
43.694985,-79.453476,0,247125418
43.672136,-79.395624,0,34710052
43.674705,-79.396651,0,20979764
43.67719,-79.397579,0,20380929
43.679547,-79.39855,0,49628902
43.684324,-79.400495,0,49629130
43.686624,-79.401479,0,60891378
43.690773,-79.403027,0,4266573441
43.69373,-79.401852,0,98499916
43.69788,-79.403231,0,98465099
43.698761,-79.406076,1,1560216121
43.674577,-79.380161,0,20953678
43.68832,-79.383542,0,20954258
43.690374,-79.383288,0,20954267
43.693604,-79.384621,0,20954270
43.698205,-79.386448,0,33531714
43.672219,-79.384788,0,25832100
43.653099,-79.387585,0,29605016
43.694104,-79.366284,0,36258015
43.69673,-79.371732,0,2274654783
43.682572,-79.39976,0,60910086
43.6574,-79.35654,0,34678757
43.659502,-79.357445,0,29688434
43.663687,-79.35923,1,31022265
43.665882,-79.357365,0,31022275
43.649342,-79.42078,0,25629235
43.65014,-79.439714,0,72304414
43.649446,-79.424738,0,25629234
43.649883,-79.435598,0,129156174
43.665438,-79.468576,0,25767793
43.665388,-79.464561,0,25767802
43.649623,-79.431438,1,29690118
43.662517,-79.38637,0,24959509
43.676982,-79.447423,0,502020452
43.652296,-79.406015,0,21631723
43.662597,-79.364003,0,31086767
43.648635,-79.386558,1,29687649
43.647371,-79.38605,0,29604900
43.643904,-79.40267,0,21631720
43.646303,-79.366295,0,208539723
43.641006,-79.380705,1,21099015
43.641609,-79.380953,1,208533279
43.647757,-79.361271,0,21099033
43.645501,-79.369794,1,21099028
43.644197,-79.37586,1,1363831222
43.64317,-79.37791,1,208533278
43.6421,-79.377444,1,34710074
43.653562,-79.363581,1,29687550
43.638474,-79.392196,0,95636284
43.636444,-79.399607,1,21090838
43.635866,-79.401893,0,247298849
43.634499,-79.408721,1,21098747
43.654549,-79.363998,1,20953853
43.633387,-79.434586,1,156900260
43.669427,-79.382476,0,25628750
43.638362,-79.45353,0,72302964
43.666059,-79.393178,0,20979743
43.636222,-79.465271,0,21098705
43.635079,-79.468076,0,262267320
43.651551,-79.362731,1,21090712
43.652721,-79.363216,1,21090784
43.655609,-79.364434,0,25768708
43.656946,-79.364973,1,29688422
43.659444,-79.365987,1,35506392
43.661956,-79.367007,1,29688872
43.664269,-79.367958,0,32755993
43.668161,-79.369537,0,31096820
43.672016,-79.370764,0,20953772
43.650382,-79.367892,0,25628774
43.651282,-79.368252,1,29605071
43.652149,-79.368634,1,29687663
43.65338,-79.369114,0,72304591
43.654531,-79.36944,0,34682420
43.658304,-79.371,0,27559776
43.661228,-79.372218,0,32756005
43.663196,-79.373038,0,32756002
43.667066,-79.374656,0,25813496
43.672317,-79.376838,0,20953775
